id,date,competition,home,away,result,minute,score,what,how,jersey
230,2012-01-04,CUP,FC Barcelona,Osasuna,4-0,90+2,4-0,,Left foot,10
231,2012-01-15,PRM,FC Barcelona,Real Betis,4-2,12,2-0,,Left foot,10
232,2012-01-15,PRM,FC Barcelona,Real Betis,4-2,86,4-2,Penalty,Left foot,10
233,2012-01-22,PRM,Málaga,FC Barcelona,1-4,33,0-1,,Head,10
234,2012-01-22,PRM,Málaga,FC Barcelona,1-4,51,0-3,,Left foot,10
235,2012-01-22,PRM,Málaga,FC Barcelona,1-4,81,0-4,,Left foot,10
236,2012-02-04,PRM,FC Barcelona,Real Sociedad,2-1,72,2-0,,Left foot,10
237,2012-02-14,EUR,Bayer Leverkusen,FC Barcelona,1-3,88,1-3,,Left foot,10
238,2012-02-19,PRM,FC Barcelona,Valencia,5-1,22,1-1,,Left foot,10
239,2012-02-19,PRM,FC Barcelona,Valencia,5-1,27,2-1,,Left foot,10
240,2012-02-19,PRM,FC Barcelona,Valencia,5-1,76,3-1,Rebound,Left foot,10
241,2012-02-19,PRM,FC Barcelona,Valencia,5-1,85,4-1,,Left foot,10
242,2012-02-26,PRM,Atlético Madrid,FC Barcelona,1-2,81,1-2,Free kick,Left foot,10
243,2012-02-29,FRN,Switzerland,Argentina,1-3,20,0-1,,Left foot,10
244,2012-02-29,FRN,Switzerland,Argentina,1-3,88,1-2,,Left foot,10
245,2012-02-29,FRN,Switzerland,Argentina,1-3,90+3,1-3,Penalty,Left foot,10
246,2012-03-07,EUR,FC Barcelona,Bayer Leverkusen,7-1,25,1-0,,Left foot,10
247,2012-03-07,EUR,FC Barcelona,Bayer Leverkusen,7-1,42,2-0,,Left foot,10
248,2012-03-07,EUR,FC Barcelona,Bayer Leverkusen,7-1,49,3-0,,Right foot,10
249,2012-03-07,EUR,FC Barcelona,Bayer Leverkusen,7-1,58,5-0,Rebound,Left foot,10
250,2012-03-07,EUR,FC Barcelona,Bayer Leverkusen,7-1,84,7-0,,Left foot,10
251,2012-03-11,PRM,Racing Santander,FC Barcelona,0-2,29,0-1,,Left foot,10
252,2012-03-11,PRM,Racing Santander,FC Barcelona,0-2,56,0-2,Penalty,Left foot,10
253,2012-03-17,PRM,Sevilla,FC Barcelona,0-2,25,0-2,,Left foot,10
254,2012-03-20,PRM,FC Barcelona,Granada,5-3,17,2-0,,Left foot,10
255,2012-03-20,PRM,FC Barcelona,Granada,5-3,67,3-2,,Left foot,10
256,2012-03-20,PRM,FC Barcelona,Granada,5-3,86,5-2,,Left foot,10
257,2012-03-24,PRM,Real Mallorca,FC Barcelona,0-2,25,0-1,Free kick,Left foot,10
258,2012-03-31,PRM,FC Barcelona,Athletic de Bilbao,2-0,58,2-0,Penalty,Left foot,10
259,2012-04-03,EUR,FC Barcelona,AC Milan,3-1,11,1-0,Penalty,Left foot,10
260,2012-04-03,EUR,FC Barcelona,AC Milan,3-1,41,2-1,Penalty,Left foot,10
