date,competition,home,away,result,minute,score,what,how,video_start,video_end
2012-12-12,CUP,Córdoba,FC Barcelona,0-2,11,0-1,,Left foot
2012-12-12,CUP,Córdoba,FC Barcelona,0-2,74,0-2,,Left foot
2012-12-09,PRM,Real Betis,FC Barcelona,1-2,16,0-1,,Left foot
2012-12-09,PRM,Real Betis,FC Barcelona,1-2,25,0-2,,Left foot
2012-12-01,PRM,FC Barcelona,Athletic de Bilbao,5-1,25,2-0,,Left foot
2012-12-01,PRM,FC Barcelona,Athletic de Bilbao,5-1,70,5-1,,Right foot
2012-11-25,PRM,Levante,FC Barcelona,0-4,47,0-1,,Left foot
2012-11-25,PRM,Levante,FC Barcelona,0-4,52,0-2,,Left foot
2012-11-20,EUR,Spartak Moscow,FC Barcelona,0-3,27,0-2,Rebound,Right foot
2012-11-20,EUR,Spartak Moscow,FC Barcelona,0-3,39,0-3,,Left foot
2012-11-17,PRM,FC Barcelona,Real Zaragoza,3-1,16,1-0,,Left foot
2012-11-17,PRM,FC Barcelona,Real Zaragoza,3-1,60,3-1,,Left foot
2012-11-11,PRM,Real Mallorca,FC Barcelona,2-4,44,0-2,,Left foot
2012-11-11,PRM,Real Mallorca,FC Barcelona,2-4,70,2-4,,Left foot
2012-11-07,EUR,Celtic,FC Barcelona,2-1,90+1,2-1,Rebound,Left foot
2012-10-27,PRM,Rayo Vallecano,FC Barcelona,0-5,48,0-2,,Left foot
2012-10-27,PRM,Rayo Vallecano,FC Barcelona,0-5,89,0-5,,Right foot
2012-10-20,PRM,Deportivo La Coruña,FC Barcelona,4-5,18,0-3,,Left foot
2012-10-20,PRM,Deportivo La Coruña,FC Barcelona,4-5,43,2-4,,Right foot
2012-10-20,PRM,Deportivo La Coruña,FC Barcelona,4-5,77,3-5,,Left foot
2012-10-17,WCQ,Chile,Argentina,1-2,28,0-1,,Left foot
2012-10-13,WCQ,Argentina,Uruguay,3-0,65,1-0,,Right foot
2012-10-13,WCQ,Argentina,Uruguay,3-0,80,3-0,Free kick,Left foot
2012-10-07,PRM,FC Barcelona,Real Madrid,2-2,31,1-1,,Left foot
2012-10-07,PRM,FC Barcelona,Real Madrid,2-2,61,2-1,Free kick,Left foot
2012-09-19,EUR,FC Barcelona,Spartak Moscow,3-2,71,2-2,,Left foot
2012-09-19,EUR,FC Barcelona,Spartak Moscow,3-2,80,3-2,,Head
2012-09-15,PRM,Getafe,FC Barcelona,1-4,74,0-2,Penalty,Left foot
2012-09-15,PRM,Getafe,FC Barcelona,1-4,78,0-3,,Left foot
2012-09-08,WCQ,Argentina,Paraguay,3-1,63,3-1,Free kick,Left foot
2012-08-29,SUP,Real Madrid,FC Barcelona,2-1,45,2-1,Free kick,Left foot
2012-08-26,PRM,Osasuna,FC Barcelona,1-2,76,1-1,,Left foot
2012-08-26,PRM,Osasuna,FC Barcelona,1-2,80,1-2,,Left foot
2012-08-23,SUP,FC Barcelona,Real Madrid,3-2,70,2-1,Penalty,Left foot
2012-08-19,PRM,FC Barcelona,Real Sociedad,5-1,11,2-1,,Left foot
2012-08-19,PRM,FC Barcelona,Real Sociedad,5-1,16,3-1,,Left foot
2012-08-15,FRN,Germany,Argentina,1-3,52,0-2,,Left foot
2012-06-09,FRN,Argentina,Brazil,4-3,31,1-1,,Left foot
2012-06-09,FRN,Argentina,Brazil,4-3,35,2-1,,Left foot
2012-06-09,FRN,Argentina,Brazil,4-3,85,4-3,Solo run,Left foot
2012-06-03,WCQ,Argentina,Ecuador,4-0,31,3-0,,Left foot
2012-05-25,CUP,Athletic de Bilbao,FC Barcelona,0-3,20,0-2,,Right foot
2012-05-05,PRM,FC Barcelona,Espanyol,4-0,64,2-0,Penalty,Left foot
2012-05-05,PRM,FC Barcelona,Espanyol,4-0,12,1-0,Free kick,Left foot
2012-05-05,PRM,FC Barcelona,Espanyol,4-0,74,3-0,,Left foot
2012-05-05,PRM,FC Barcelona,Espanyol,4-0,79,4-0,Penalty,Left foot
2012-05-02,PRM,FC Barcelona,Málaga,4-1,35,2-1,Penalty,Left foot
2012-05-02,PRM,FC Barcelona,Málaga,4-1,64,4-1,,Left foot
2012-05-02,PRM,FC Barcelona,Málaga,4-1,59,3-1,Penalty,Left foot
2012-04-29,PRM,Rayo Vallecano,FC Barcelona,0-7,16,0-1,,Left foot
2012-04-29,PRM,Rayo Vallecano,FC Barcelona,0-7,90,0-7,,Left foot
2012-04-14,PRM,Levante,FC Barcelona,1-2,72,1-2,Penalty,Left foot
2012-04-14,PRM,Levante,FC Barcelona,1-2,64,1-1,,Left foot
2012-04-10,PRM,FC Barcelona,Getafe,4-0,44,2-0,,Left foot
2012-04-07,PRM,Real Zaragoza,FC Barcelona,1-4,39,1-2,,Left foot
2012-04-07,PRM,Real Zaragoza,FC Barcelona,1-4,86,1-3,Penalty,Left foot
